"","State","Year","Fire intention","Presence / Absence","Count","Number of fires, land cover (# km2-1 year-1)","Number of total, total (# km2-1 year-1)","Intended fire size min (ha)","Actual fire size min (ha)","Intended fire size max (ha)","Actual fire size max (ha)","Intended fire size mean (ha)","Actual fire size mean (ha)","Intended fire size median (ha)","Actual fire size median (ha)","Intended burned area % (land cover)","Actual burned area % (land cover)","Intended Burned area % (total)","Actual Burned area % (total)","Fire return period (years)"
"78","Maine",1990,"ND","Presence",2,NA,NA,NA,NA,NA,377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Maryland",1990,"ND","Presence",1,NA,NA,NA,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Michigan",1990,"Arson","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Michigan",1990,"Hunter gatherer","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Michigan",1990,"Other","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Michigan",1990,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"84","Michigan",1990,"Vegetation clearance","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Michigan",1990,"ND","Presence",5,NA,0.00308969071428571,NA,0.5,NA,1778.5,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"86","Minnesota",1990,"Arson","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Minnesota",1990,"Hunter gatherer","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Minnesota",1990,"Other","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Minnesota",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA
"90","Minnesota",1990,"Vegetation clearance","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Minnesota",1990,"ND","Presence",5,NA,0.00308969071428571,NA,0.5,NA,8954.5,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"92","Mississippi",1990,"ND","Presence",1,NA,NA,NA,NA,NA,1680,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Missouri",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
"94","Missouri",1990,"ND","Presence",1,NA,0.0124791375291375,NA,0.5,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"95","Missouri",2000,"Crop residue burning","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7900826446281,NA,1.45111972755016,NA
"96","Montana",1990,"Pyrome management","Presence",3,NA,NA,NA,NA,NA,NA,NA,48.3333333333333,NA,NA,NA,NA,NA,NA,NA
"97","Montana",1990,"ND","Presence",3,NA,NA,NA,NA,NA,47736.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Nebraska",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,175.25,NA,NA,NA,NA,NA,NA,NA
"99","Nebraska",1990,"ND","Presence",1,NA,NA,NA,NA,NA,30149,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Nebraska",2010,"Pasture management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Nebraska",2010,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Nebraska",2010,"ND","Presence",2,NA,NA,NA,NA,NA,NA,NA,48.5985805365091,NA,NA,NA,NA,NA,NA,NA
"103","Nevada",1990,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA
"104","Nevada",1990,"ND","Presence",1,NA,NA,NA,NA,NA,144548,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Nevada",2000,"Other","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Nevada",2000,"Pyrome management","Presence",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Nevada",2000,"ND","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA
"108","New Hampshire",1990,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"109","New Jersey",1990,"ND","Presence",1,NA,NA,NA,NA,NA,7780,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","New Mexico",1990,"Pyrome management","Presence",3,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
"111","New Mexico",1990,"ND","Presence",2,NA,NA,NA,NA,NA,131654.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","New York",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"113","New York",1990,"ND","Presence",1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","North Carolina",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
"115","North Carolina",1990,"ND","Presence",1,NA,NA,NA,NA,NA,18330,NA,NA,NA,NA,NA,NA,NA,NA,NA
