"Case.Study.ID","Location","Region.or.district","Study.Date..start.","Study.Date..end.","State","Land tenure","Fire development stage","Primary AFT","Secondary AFT","Tertiary AFT"
"448c",NA,"Southeastern","2002","2012","Georgia",NA,"Industrial","Intensive farmer","Livestock farmer, Intensive","Forestry, Industrial"
"448d",NA,"Southern Great Plains","1995","2019","Oklahoma",NA,"Industrial","Intensive farmer","Livestock farmer, Intensive","Forestry, Industrial"
"451a",NA,"ND","2004","2012","Colorado","Private","Industrial","Livestock farmer, Intensive",NA,NA
"454a","Northern Basin and Range","ND","1992","2015","Oregon",NA,NA,"ND",NA,NA
"454aa","Lake Manitoba and Lake Agassiz Plain","ND","1992","2015","Minnesota",NA,NA,"ND",NA,NA
"454ab","Cross Timbers","ND","1992","2015","Texas",NA,NA,"ND",NA,NA
"454ac","Sierra Nevada","ND","1992","2015","California",NA,NA,"ND",NA,NA
"454ad","California Coastal Sage, Chaparral and Oak Woodlands","ND","1992","2015","California",NA,NA,"ND",NA,NA
"454ae","Northern Minnesota Wetlands","ND","1992","2015","Minnesota",NA,NA,"ND",NA,NA
"454af","Northwestern Glaciated Plains","ND","1992","2015","Montana",NA,NA,"ND",NA,NA
"454ag","Central Great Plains","ND","1992","2015","Kansas",NA,NA,"ND",NA,NA
"454ah","Southern Texas Plains / Interior Plains and hills","ND","1992","2015","Texas",NA,NA,"ND",NA,NA
"454ai","Columbia Mountains / Northern Rockies","ND","1992","2015","Washington",NA,NA,"ND",NA,NA
"454aj","Eastern Cascades","ND","1992","2015","Oregon",NA,NA,"ND",NA,NA
"454ak","Colorado Plateaus","ND","1992","2015","Utah",NA,NA,"ND",NA,NA
"454al","Arizona / New Mexico Plateau","ND","1992","2015","Arizona",NA,NA,"ND",NA,NA
"454am","Central Appalachians","ND","1992","2015","Tennessee",NA,NA,"ND",NA,NA
"454an","Arkansas Valley","ND","1992","2015","Arkansas",NA,NA,"ND",NA,NA
"454ao","Southern Coastal Plain","ND","1992","2015","Florida",NA,NA,"ND",NA,NA
"454ap","Cascades","ND","1992","2015","Oregon",NA,NA,"ND",NA,NA
"454aq","Ouchita Mountains","ND","1992","2015","Arkansas",NA,NA,"ND",NA,NA
"454ar","Central Irregular Plains","ND","1992","2015","Oklahoma",NA,NA,"ND",NA,NA
"454as","Sonoran Desert","ND","1992","2015","Arizona",NA,NA,"ND",NA,NA
"454at","Chihuahuan Deserts","ND","1992","2015","Texas",NA,NA,"ND",NA,NA
"454au","Boston Mountains","ND","1992","2015","Arkansas",NA,NA,"ND",NA,NA
"454av","Central California Valley","ND","1992","2015","California",NA,NA,"ND",NA,NA
"454aw","Aspen Parkland & Northern Glaciated plains","ND","1992","2015","North Dakota",NA,NA,"ND",NA,NA
"454ax","Ozark Highlands","ND","1992","2015","Arkansas",NA,NA,"ND",NA,NA
"454ay","Western Corn Belt Plains","ND","1992","2015","Iowa",NA,NA,"ND",NA,NA
"454az","Southwestern Appalachians","ND","1992","2015","Alabama",NA,NA,"ND",NA,NA
"454b","Snake River Plain","ND","1992","2015","Idaho",NA,NA,"ND",NA,NA
"454ba","East Central Texas Plains","ND","1992","2015","Texas",NA,NA,"ND",NA,NA
"454bb","Mississippi Alluvial Plain","ND","1992","2015","Louisiana",NA,NA,"ND",NA,NA
"454bc","Middle Atlantic Coastal Plain","ND","1992","2015","North Carolina",NA,NA,"ND",NA,NA
"454bd","Interior River Valleys and Hills","ND","1992","2015","Illinois",NA,NA,"ND",NA,NA
"454be","Blue Ridge","ND","1992","2015","Pennsylvania",NA,NA,"ND",NA,NA
"454bf","Eastern Corn Belt Plains","ND","1992","2015","Ohio",NA,NA,"ND",NA,NA
"454bg","Northern Lakes and Forests","ND","1992","2015","Wisconsin",NA,NA,"ND",NA,NA
"454bh","South Central Plains","ND","1992","2015","Texas",NA,NA,"ND",NA,NA
"454bi","Ridge and Valley","ND","1992","2015","Pennsylvania",NA,NA,"ND",NA,NA
"454bj","Central Corn Belt Plains","ND","1992","2015","Illinois",NA,NA,"ND",NA,NA
"454bk","Mississippi Valley Loess Plains","ND","1992","2015","Mississippi",NA,NA,"ND",NA,NA
"454bl","Coast Range","ND","1992","2015","California",NA,NA,"ND",NA,NA
"454bm","Texas Blackland Praries","ND","1992","2015","Texas",NA,NA,"ND",NA,NA
